iter	Passed	Remaining
0	2	740
1	4	662
2	6	639
3	8	625
4	10	641
5	13	642
6	15	640
7	17	635
8	19	629
9	21	623
10	23	622
11	25	616
12	27	612
13	29	612
14	32	609
15	34	605
16	36	602
17	38	601
18	40	601
19	42	598
20	44	596
21	47	598
22	49	599
23	51	597
24	54	599
25	56	599
26	59	597
27	61	598
28	64	598
29	66	596
30	68	594
31	70	593
32	73	592
33	75	590
34	77	589
35	80	588
36	82	586
37	84	585
38	87	583
39	89	581
40	91	579
41	94	579
42	96	577
43	98	575
44	101	573
45	103	570
46	105	568
47	107	566
48	110	564
49	112	562
50	114	560
51	116	557
52	119	555
53	121	552
54	123	551
55	126	549
56	128	547
57	130	544
58	132	542
59	135	540
60	137	538
61	139	536
62	142	534
63	144	533
64	147	531
65	149	529
66	151	526
67	153	524
68	156	522
69	158	520
70	161	519
71	163	516
72	165	514
73	167	512
74	169	509
75	171	506
76	173	503
77	176	501
78	178	498
79	180	495
80	182	492
81	184	490
82	187	489
83	189	488
84	192	486
85	194	484
86	196	480
87	198	477
88	200	474
89	201	470
90	203	467
91	205	464
92	207	461
93	208	457
94	210	454
95	212	450
96	213	447
97	215	443
98	217	440
99	218	437
100	220	434
101	222	431
102	223	428
103	225	425
104	227	422
105	228	418
106	230	415
107	232	412
108	233	409
109	235	406
110	237	403
111	238	400
112	240	398
113	242	395
114	243	392
115	245	389
116	247	386
117	248	383
118	250	380
119	252	378
120	253	375
121	255	372
122	257	369
123	258	367
124	260	364
125	261	361
126	263	358
127	265	356
128	266	353
129	268	351
130	270	348
131	271	346
132	273	343
133	275	340
134	276	338
135	278	335
136	279	332
137	281	330
138	283	328
139	284	325
140	286	323
141	288	320
142	289	318
143	291	315
144	293	313
145	294	310
146	296	308
147	297	305
148	300	304
149	301	301
150	303	299
151	305	297
152	306	294
153	308	292
154	310	290
155	311	287
156	313	285
157	315	283
158	317	281
159	318	279
160	320	276
161	322	274
162	324	272
163	326	270
164	327	268
165	329	266
166	331	263
167	333	261
168	334	259
169	336	257
170	338	255
171	340	253
172	341	250
173	343	248
174	344	246
175	346	244
176	348	242
177	350	239
178	351	237
179	354	236
180	355	233
181	357	231
182	358	229
183	360	227
184	361	225
185	363	223
186	365	220
187	367	218
188	369	216
189	371	215
190	373	213
191	375	211
192	377	209
193	379	207
194	381	205
195	383	203
196	386	202
197	389	200
198	393	199
199	395	197
200	398	196
201	401	194
202	403	192
203	406	191
204	408	189
205	411	187
206	413	185
207	415	183
208	418	182
209	420	180
210	423	178
211	426	177
212	429	175
213	431	173
214	435	172
215	439	170
216	442	169
217	445	167
218	448	165
219	451	164
220	455	162
221	458	160
222	461	159
223	463	157
224	468	156
225	471	154
226	474	152
227	478	151
228	483	149
229	486	148
230	489	146
231	493	144
232	498	143
233	501	141
234	504	139
235	508	137
236	513	136
237	517	134
238	521	133
239	525	131
240	531	130
241	537	128
242	541	127
243	544	125
244	593	133
245	604	132
246	623	133
247	626	131
248	629	128
249	632	126
250	635	124
251	641	122
252	644	119
253	648	117
254	652	115
255	656	112
256	661	110
257	665	108
258	669	105
259	693	106
260	696	104
261	699	101
262	702	98
263	705	96
264	709	93
265	711	90
266	714	88
267	716	85
268	718	82
269	721	80
270	723	77
271	725	74
272	728	72
273	730	69
274	732	66
275	734	63
276	736	61
277	739	58
278	741	55
279	743	53
280	745	50
281	746	47
282	748	44
283	750	42
284	752	39
285	754	36
286	756	34
287	758	31
288	760	28
289	762	26
290	764	23
291	765	20
292	767	18
293	768	15
294	770	13
295	772	10
296	774	7
297	776	5
298	778	2
299	782	0
